key,press_time,release_time,hold_time
p,1556412616.627264,1556412616.6918871,0.06462311744689941
r,1556412616.81378,1556412616.909417,0.09563684463500977
e,1556412616.857547,1556412616.9698792,0.11233210563659668
s,1556412617.115644,1556412617.159724,0.04408001899719238
s,1556412617.2799659,1556412617.3678122,0.08784627914428711
i,1556412617.351889,1556412617.420296,0.06840705871582031
o,1556412617.5589068,1556412617.619915,0.06100821495056152
n,1556412617.715542,1556412617.795562,0.08001995086669922
s,1556412617.799618,1556412617.879843,0.08022499084472656
Key.space,1556412617.895424,1556412617.963784,0.0683600902557373
o,1556412618.0406458,1556412618.104705,0.06405925750732422
r,1556412618.1303082,1556412618.214837,0.08452892303466797
Key.space,1556412618.190336,1556412618.2828212,0.09248518943786621
w,1556412618.31952,1556412618.4276538,0.10813379287719727
o,1556412618.435503,1556412618.499827,0.06432390213012695
r,1556412618.571588,1556412618.6276999,0.056111812591552734
d,1556412618.798516,1556412618.898632,0.10011601448059082
Key.space,1556412618.898814,1556412618.958689,0.0598750114440918
u,1556412619.106532,1556412619.166872,0.060339927673339844
s,1556412619.2045052,1556412619.319625,0.11511969566345215
a,1556412619.292577,1556412619.396252,0.10367488861083984
g,1556412619.52646,1556412619.646542,0.12008213996887207
e,1556412619.614572,1556412619.7148721,0.10030007362365723
.,1556412619.7284842,1556412619.81664,0.08815574645996094
Key.enter,1556412620.748426,1556412620.824702,0.07627606391906738
Key.enter,1556412621.035407,1556412621.1116438,0.07623672485351562
Key.shift,1556412621.221688,1556412621.4455569,0.22386884689331055
T,1556412621.4241128,1556412621.4536068,0.029494047164916992
h,1556412621.477395,1556412621.5657759,0.08838081359863281
e,1556412621.5896351,1556412621.703603,0.1139678955078125
Key.space,1556412621.673215,1556412621.753599,0.0803840160369873
j,1556412621.838455,1556412621.922842,0.08438706398010254
o,1556412622.040493,1556412622.10069,0.060196876525878906
i,1556412622.259512,1556412622.327826,0.0683140754699707
n,1556412622.451412,1556412622.531764,0.0803520679473877
Key.space,1556412622.588586,1556412622.656669,0.06808280944824219
Key.shift,1556412622.751533,1556412622.923598,0.17206501960754395
R,1556412622.883563,1556412622.9588668,0.07530379295349121
u,1556412622.955481,1556412623.011957,0.05647587776184082
l,1556412623.208409,1556412623.277653,0.0692439079284668
e,1556412623.312392,1556412623.406105,0.09371304512023926
s,1556412623.376259,1556412623.464691,0.08843183517456055
Key.space,1556412623.452532,1556412623.528651,0.07611894607543945
Key.shift,1556412623.60554,1556412623.8818922,0.2763521671295166
C,1556412623.7695842,1556412623.8614452,0.09186100959777832
o,1556412623.9323158,1556412623.991999,0.05968308448791504
m,1556412624.149627,1556412624.1977081,0.048081159591674805
m,1556412624.3232472,1556412624.379979,0.0567317008972168
i,1556412624.549352,1556412624.597583,0.04823112487792969
t,1556412624.751434,1556412624.799754,0.04831981658935547
t,1556412624.9276319,1556412624.999726,0.07209420204162598
t,1556412625.139348,1556412625.215361,0.07601308822631836
e,1556412625.2231371,1556412625.3119402,0.08880305290222168
Key.space,1556412625.501424,1556412625.588309,0.08688497543334961
a,1556412625.647562,1556412625.739518,0.09195590019226074
n,1556412625.743201,1556412625.823741,0.08053994178771973
d,1556412625.846451,1556412625.956182,0.10973095893859863
Key.space,1556412625.938276,1556412625.994529,0.05625295639038086
t,1556412626.138462,1556412626.230331,0.09186887741088867
h,1556412626.2102048,1556412626.290742,0.08053708076477051
e,1556412626.340437,1556412626.436209,0.09577202796936035
i,1556412626.449512,1556412626.5165691,0.06705713272094727
r,1556412626.5494459,1556412626.645563,0.09611701965332031
Key.space,1556412626.6646411,1556412626.752641,0.08799982070922852
w,1556412626.787468,1556412626.875715,0.08824706077575684
o,1556412626.903355,1556412626.9718301,0.06847524642944336
r,1556412627.02547,1556412627.113549,0.08807897567749023
